swot_lake_id,gage_id,agency,data_source,has_stage,has_storage,has_area,has_S2,agency2,agency3,rise_id,CDEC_code,nwis_gage_id,gage_name,latitude,longitude,elevation,SITEURL,basin_id_swot,names_swot,res_id_swot,reach_id_list_swot,lon_swot,lat_swot,poly_area_swot,poly_perimeter_swot,ref_area_swot,ref_area_u_swot,ref_wse_swot,ref_wse_u_swot,date_t0_swot,ds_t0_swot,storage_swot,ice_clim_flag_swot,ice_clim_flag2_swot,nb_ice_clim_swot,pass_full_cal_swot,nb_pass_full_cal_swot,pass_part_cal_swot,nb_pass_part_cal_swot,pass_full_nom_swot,nb_pass_full_nom_swot,pass_part_nom_swot,nb_pass_part_nom_swot,cycle_flag_cal_swot,cycle_flag_nom_swot,min_dist_lake_swot,min_dist_lake_id_swot,min_dist_river_swot,min_dist_river_id_swot,update_version_swot,updated_items_swot,sources_swot,Shape_Length_swot,Shape_Area_swot,a_geod_km2_swot,p_geod_km_swot,num_pass_cycle_swot,ice_clim_1,ice_clim_2
7120754902,5056500,USGS,NWIS,Y,N,N,N,,,,,5056500,EAST DEVILS LAKE;DEVILS LAKE;SILVER LAKE;O'CONNELL LAKE;ROUND LAKE,48.09944515,-98.9031773,1401.33,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05056500,712,EAST DEVILS LAKE;DEVILS LAKE;SILVER LAKE;O'CONNELL LAKE;ROUND LAKE,,,-98.99565502,48.0582804,444.7899305,823.5848555,444.7899305,,441.352,0,2024-05-08T02:16:22Z,-0.016117554,,2.2222E+181,1.11111E+58,185,,0,,0,,0,578;371;272;65,4,0,2,30,7120754782,107997,71226500351,,,Circa2015;digitize,9.176734236,0.053707173,445.1436909,823.9122303,4,2.2222E+181,1.11111E+58
7120800622,5088500,USGS,NWIS,Y,N,N,Y,,,,,5088500,"HOMME RESERVOIR NR PARK RIVER, ND",48.4061111,-97.7894444,1001.07,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05088500,712,,,,-97.79953942,48.40662543,0.648000008,6.300000398,0.648000008,,328.606,0,2024-05-07T02:15:41Z,-9.79E-05,,2.2222E+181,1.11111E+60,187,,0,,0,550;65,2,272,1,0,3,2341,7120798122,46378,71226500271,,,Circa2015,0.072386854,7.88E-05,0.648392605,6.301912353,3,2.2222E+181,1.11111E+60
7120811162,5056665,USGS,NWIS,Y,N,N,Y,,,,,5056665,SWAN LAKE;STUMP LAKE,47.8686089,-98.3578795,1401.21,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05056665,712,SWAN LAKE;STUMP LAKE,,,-98.42131693,47.90806259,66.15360004,140.0999989,66.15360004,,441.365,0,2024-05-10T15:37:19Z,-0.008103883,,2.2222E+181,1.11111E+58,185,,0,,0,371;65,2,,0,0,3,30,7120710632,91105,71226500351,,,Circa2015,1.566365911,0.007964605,66.20350083,140.1527967,2,2.2222E+181,1.11111E+58
7120838103,5073500,USGS,NWIS,Y,N,N,N,,,,,5073500,RED LAKE (UPPER AND LOWER);RED LAKE RESERVOIR;LOWER RED LAKE;UPPER RED LAKE,47.9574775,-95.2764135,1175,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05074000,712,RED LAKE (UPPER AND LOWER);RED LAKE RESERVOIR;LOWER RED LAKE;UPPER RED LAKE,740,,-94.91482939,48.03201006,1144.268105,260.2141441,1144.2681,,357.434,0,2023-05-15T23:42:54Z,0.360977133,,2.2222E+181,1.11111E+58,186,,0,11,1,,0,522;315;244;37,4,1,2,127,7120838862,55068,71224300351,,,Circa2015;digitize,3.064276418,0.138028636,1144.604864,260.2527698,4,2.2222E+181,1.11111E+58
7120849353,5140520,USGS,NWIS,Y,N,N,N,,,,,5140520,ELEANOR LAKE;BERRY RIVER;BIG GRASSY RIVER;SHOAL LAKE;WOODS;TURTLE LAKE;DOGPAW LAKE;RESIDENTIAL DOCK;CHISHOLM ISLAND;LAKE OF THE WOODS;STEAMBOAT REEF,48.9041545,-95.3160708,,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=05140520,712,ELEANOR LAKE;BERRY RIVER;BIG GRASSY RIVER;SHOAL LAKE;WOODS;TURTLE LAKE;DOGPAW LAKE;RESIDENTIAL DOCK;CHISHOLM ISLAND;LAKE OF THE WOODS;STEAMBOAT REEF,,71224300933;71224300393;71224300853;71224301423;71224301043;71224300383;71224300783;71224300843;71224300293;71224300523;71224301103;71224300913;71224301343;71224300883;71224301553;71224301013;71224300503;71224301243;71224301123;71224300593;71224301383;71224300373;71224300893;71224301153;71224300823;71224300863;71224300753;71224300673;71224301363;71224300723;71224300583;71224301303;71224300363;71224300943;71224300773;71224301033;71224301323;71224300993;71224301063;71224300153;71224301413;71224300403;71224300193;71224300233;71224301183;71224300353;71224301163;71224300693;71224301203;71224300963;71224301223;71224300243;71224301083;71224300983;71224301283;71224301173;71224300203;71224300313;71224300953;71224301393;71224300173;71224300253;71224301263;71224300813;71224300743;71224300603;71224300573;71224300631;71224300653;71224300641;71224300333;71224301443;71224300541;71224301001;71224300703;71224300181;71224300623;71224301191;71224300301;71224300553;71224301236;71224301026;71224301096;71224301256;71224301406;71224301356;71224301436;71224300281;71224300876;71224300906;71224300736;71224300686;71224300836;71224300926;71224301316;71224301456;71224301136;71224301336;71224301116;71224300796;71224301376;71224300271;71224301056;71224301291;71224300971;71224300221;71224300711;71224301141;71224300161;71224300661;71224300211;71224301211;71224300803;71224300561;71224301071;71224300511;71224300531;71224301271;71224300761;71224300261;71224300321;71224300341;71224300611,-94.68996736,49.22182652,3548.171256,8047.299097,3548.171256,,322.549,0,2024-05-20T14:00:01Z,-0.525943819,,2.2222E+181,1.11111E+54,192,,0,11,1,,0,522;343;315;216;37,5,1,1,30,7120847532,0,71224300081,,,Circa2015;digitize,92.97217403,0.438148037,3549.64022,8049.352753,5,2.2222E+181,1.11111E+54
7250030423,4177700,USGS,NWIS,Y,N,N,Y,,,,,4177700,"HAMILTON LAKE AT HAMILTON, IN",41.5361616,-84.9124618,889.38,,725,,1558,,-84.91854585,41.55019744,2.91690109,18.05882871,2.91690009,,273.102,0,2024-04-23T17:09:31Z,-0.000554495,,1.1111E+181,1.11111E+38,142,,0,,0,481,1,175,1,0,3,150,7250039342,34819,72556000523,,,Circa2015;digitize,0.187653011,0.000314804,2.917071124,18.05935093,2,1.1111E+181,1.11111E+38
7250032202,4097188,USGS,NWIS,Y,N,N,Y,,,,,4097188,"AUSTIN LAKE NEAR KALAMAZOO, MI",42.19084466,-85.5507796,849.45,,725,AUSTIN LAKE,,,-85.55109464,42.17610065,4.420800049,12.96000058,4.420800049,,260.21,0,2024-05-03T02:15:29Z,0.000317316,,1.1111E+181,1.11111E+38,144,,0,,0,481;438,2,,0,0,3,161,7250032152,19266,72589000311,,,Circa2015,0.135310778,0.000481922,4.422779731,12.96290632,2,1.1111E+181,1.11111E+38
7250035822,4100220,USGS,NWIS,Y,N,N,Y,,,,,4100220,"WALDRON LAKE NEAR COSPERVILLE, IN",41.49282747,-85.4485919,879.57,,725,,,,-85.44269509,41.49233899,0.018900022,0.719999774,0.018900022,,269.619,0,2024-05-03T02:15:41Z,0,,1.1111E+181,1.11111E+36,138,,0,,0,438,1,,0,0,3,305,7250035832,40093,72589000181,,,Circa2015,0.007732197,2.04E-06,0.018907293,0.720138054,1,1.1111E+181,1.11111E+36
7250039432,4100180,USGS,NWIS,Y,N,N,Y,,,,,4100180,"SYLVAN LAKE AT ROME CITY, IN",41.49810539,-85.3772009,906.51,,725,TWIN ISLAND;SYLVAN LAKE,,,-85.35431572,41.48886416,2.13209993,23.40000129,2.13209993,,278.5455,0,2024-04-12T05:30:38Z,0.000425349,,1.1111E+181,1.11111E+36,138,,0,,0,438,1,,0,0,3,60,7250039412,39463,72556000523,,,Circa2015,0.24798666,0.000229954,2.132815001,23.40393564,1,1.1111E+181,1.11111E+36
7250046332,4.45322E+14,USGS,NWIS,Y,N,N,Y,,,,,4.45322E+14,"BERRY LAKE NEAR SHAWANO, WI",44.8875,-88.4722222,747.73,,725,BERRY LAKE,,,-88.47897321,44.8889506,0.724500013,6.240000342,0.724500013,,255.372,0,2024-05-06T15:34:23Z,-0.00013258,,2.2222E+181,1.11111E+49,169,,0,,0,537;231,2,466,1,0,3,509,7250044482,4720,72582700481,,,Circa2015,0.069122967,8.26E-05,0.724837225,6.24144989,3,2.2222E+181,1.11111E+49
